time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,average
2020-04-06 00:00:00,2.0,4.0,1.0,,4.0,,17,2.75
2020-04-06 00:00:00,2.0,8.0,5.0,,3.0,0.0,2,4.5
2020-04-06 00:00:00,9.0,7.0,5.0,,4.0,,8,6.25
2020-04-06 00:00:00,10.0,2.0,9.0,,10.0,,4,7.75
2020-04-06 00:00:00,6.0,2.0,9.0,,4.0,1.0,15,5.25
2020-04-06 00:00:00,9.0,7.0,4.0,,8.0,0.0,18,7.0
2020-04-06 00:00:00,8.0,1.0,10.0,,3.0,1.0,4,5.5
2020-04-06 00:00:00,6.0,3.0,10.0,10.0,9.0,,3,7.6
2020-04-06 00:05:00,10.0,3.0,8.0,4.0,1.0,,6,5.2
2020-04-06 00:05:00,4.0,2.0,7.0,,5.0,,8,4.5
2020-04-06 00:05:00,10.0,4.0,1.0,,1.0,,14,4.0
2020-04-06 00:05:00,6.0,2.0,0.0,7.0,9.0,,5,4.8
2020-04-06 00:05:00,6.0,4.0,9.0,,0.0,,8,4.75
2020-04-06 00:05:00,4.0,10.0,0.0,,8.0,,8,5.5
2020-04-06 00:05:00,2.0,9.0,1.0,,4.0,,8,4.0
2020-04-06 00:05:00,10.0,1.0,4.0,,3.0,,13,4.5
2020-04-06 00:05:00,7.0,9.0,10.0,,3.0,,15,7.25
2020-04-06 00:05:00,4.0,3.0,8.0,,10.0,,19,6.25
2020-04-06 00:05:00,10.0,10.0,3.0,,10.0,0.0,2,8.25
2020-04-06 00:05:00,2.0,3.0,3.0,,10.0,0.0,8,4.5
2020-04-06 00:10:00,10.0,8.0,8.0,,5.0,0.0,4,7.75
2020-04-06 00:10:00,2.0,2.0,10.0,,10.0,,4,6.0
2020-04-06 00:10:00,1.0,5.0,4.0,8.0,9.0,,6,5.4
2020-04-06 00:10:00,3.0,4.0,3.0,9.0,4.0,,5,4.6
2020-04-06 00:10:00,8.0,10.0,1.0,,3.0,1.0,19,5.5
2020-04-06 00:10:00,0.0,7.0,0.0,3.0,10.0,,6,4.0
2020-04-06 00:10:00,0.0,2.0,10.0,,5.0,0.0,12,4.25
2020-04-06 00:10:00,1.0,7.0,1.0,,2.0,,2,2.75
2020-04-06 00:10:00,1.0,9.0,0.0,9.0,8.0,1.0,6,5.4
2020-04-06 00:10:00,2.0,6.0,1.0,,3.0,,18,3.0
2020-04-06 00:10:00,5.0,9.0,10.0,7.0,0.0,1.0,3,6.2
2020-04-06 00:15:00,8.0,3.0,1.0,7.0,10.0,,6,5.8
2020-04-06 00:15:00,10.0,4.0,7.0,,2.0,,12,5.75
